Component,Failure,DefectivePart,PartsReplaced,Cost,DealerComment_English
REMORC AS24H,DEFECT,ECU-BODY COMPUTER,0,126.7,"RECORD DOSSIER NO. 8001751090 BREAKDOWN LOCATION: KLEINER KORNWEG, KELSTERBACH NEAR EUROPCAR STATION REASON VEHICLE WILL NOT START CORRECTION DRIVE TO THE BREAKDOWN LOCATION WITH THE WORKSHOP VEHICLE"
REMORC AS24H,NO FAULT FOUND,AUTOM.TRANSMISSION,0,313.32,COMPLAIN The gearbox snaps when starting CAUSE Improper use of seat belt. CORRECTION Drove out to a customer. The customer had moved to another location. had to make the customer turn around to drive to the workshop. met the customer at workshop. performed UDT reading. inactive fault codes on gearbox. deleted these. test drive. no errors during test drive.
REMORC AS24H,DEFECT,DELIVERY LINE,0,124.25,"RECL BREAKDOWN LOCATION: FRANKFURT AIRPORT, BUILDING 558 ERROR MESSAGE: AD-BLUE REASON AD-BLUE CABLE DEFECTIVE CORRECTION DRIVE TO BREAKDOWN LOCATION. DIAGNOSIS MADE. EMERGENCY REPAIR CARRIED OUT. CUSTOMER DRIVES TO HIS HOSPITAL FOR FURTHER REPAIRS. (SPARE PART NOT IN STOCK)"
REMORC AS24H,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,297.5,"RECORD DOSSIER NUMBER: 8001717298 BREAKDOWN LOCATION: HESSENRING 12, 64572 BüTTELBORN, VEHICLE HAS AD-BLUE ERROR - START-STOP DEACTIVATED. DRIVE WITH WORKSHOP VEHICLE TO THE BREAKDOWN LOCATION REASON 1X NOX SENSOR DEFECTIVE. CORRECTION DIAGNOSIS MADE. 1X NOX SENSOR DEFECTIVE. VEHICLE MUST GO TO THE WORKSHOP FOR FURTHER REPAIRS. VEHICLE DID NOT COME TO OUR WORKSHOP FOR REPAIRS"
REMORC AS24H,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,155.05,RECORD DOSSIER NUMBER: 8001731587 BREAKDOWN LOCATION: A5 REST AREA STEINGRUND GRUND ONLY GOES 20 KM/H. DRIVE TO BREAKDOWN LOCATION WITH WORKSHOP VEHICLE CORRECTION DIAGNOSIS MADE. AD-BLUE LINE AND NOZZLE DEFECTIVE. VEHICLE. ACCOMPANIED TO WORKSHOP FOR FURTHER REPAIRS
REMORC AS24H,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,169.4,"RECORD BREAKDOWN LOCATION: GRENZWEG 2, KELSTERBACH REASON VEHICLE HAS DIESEL LOSS CORRECTION DRIVE WITH THE WORKSHOP VEHICLE TO THE BREAKDOWN LOCATION"
REMORC AS24H,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,139.3,"RECLASS DOSSIER NUMBER: 8001718065. BREAKDOWN LOCATION: WERRASTR. 6, 65479 RAUNHEIM VEHICLE WILL NOT START. DRIVE TO THE BREAKDOWN LOCATION WITH THE WORKSHOP VEHICLE. REASON PROGRAM BCM ACCORDING TO E-TIM CORRECTION DIAGNOSIS PC UDT CONNECTED. ERROR CODES READ OUT. 000602-01 ECM IMMOBILIZER - INCORRECT CODE. BCM REPROGRAMMED ACCORDING TO E-TIM AND ERROR CODES DELETED. VEHICLE STARTS WITHOUT ERROR"
REMORC AS24H,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,104.65,RECORD DOSSIER NUMBER: 8001730352 BREAKDOWN LOCATION: B519 EXIT A60 RüSSELSHEIM CENTER EXIT A60 VEHICLE WILL NOT START - AD-BLUE ERROR REASON AD-BLUE LINE AND MODULE BLOCKED CORRECTION DIAGNOSIS MADE.
REMORC AS24H,DEFECT,DUMMY MATERIAL FOR CAUSAL PART,0,119,"RECORD DOSSIER NUMBER: 8001731087 LOCATION OF BREAKDOWN: FA. GEL NDE CCG, KELSTERBACH REASON ERROR MESSAGE IN THE DISPLAY: AD-BLUE CORRECTION DRIVE TO THE LOCATION OF BREAKDOWN WITH THE WORKSHOP VEHICLE. VEHICLE MUST GO TO THE WORKSHOP FOR FURTHER REPAIRS"
INFOTAINMENT,INCORRECT ADJUSTMENT,ECU-EXPANSION MODULE,2,221.7,"RECL NIS ERROR MESSAGE IN THE CONTROL UNIT HARNESS REASON NIS NOT INSTALLED CORRECTION VEHICLE READ OUT, TELEPROGRAMMING CARRIED OUT"
INFOTAINMENT,DEFECT,MONITOR,1,802.4625,"COMPLAINT Inspect head unit screen pixelated CAUSE Internal short circuit CORRECTION Inspected head unit screen, found screen was pixelated, removed head unit screen, checked & test all related wiring - all ok 5WU. Found LCD screen had internal short circuit, replaced LCD screen with new unit from spare parts, checked operation of LCD screen - all ok. Reset time and date, checked maps - all good."
INFOTAINMENT,SHORT CIRCUIT,ECU RADIONAVIGATOR,1,970.23,RECL RADIO SWITCHES OFF BY ITSELF REASON FAN IN THE HEADUNIT HAS A SHORT CIRCUIT CORRECTION HEADUNIT A-E REPLACED
INFOTAINMENT,SHORT CIRCUIT,MONITOR,1,829.011628,"COMPLAINT MONITOR WONT POWER ON. CAUSE FOUND INTERNAL SHORT IN MONITOR. CORRECTION REMOVE AND REPLACE MONITOR, TEST OK."
INFOTAINMENT,LOW OUTPUT/EFFICIENCY,MONITOR,2,850.85,INCIDENT GPS DOES NOT INDICATE THE VEHICLE ON THE ROADS AT TIMES NOISE WHEN DRIVING AT THE FRONT LEFT CAUSE POOR GPS PERFORMANCE ROAD NOISE SOLUTION NOISE WHEN DRIVING AT THE FRONT LEFT GPS DOES NOT INDICATE THE VEHICLE ON THE ROADS AT TIMES (Time: .20)CONTR. EFFICIENCY GROUND CABLES (Time s: .20)CONTR. EFFICIENCY CONNECTOR CONTACTS ELECTRICAL INST.(Time: .10)D-R MONITOR SCREEN(Time: .50)D-R RIGHT WHEEL HUB FRONT AXLE T EL. LEAKS WITH AXLE PIVOT STAND UNHOOKED(Time: 3.10)D-R 2 FRONT AXLE SPINDLES(Time: .30)REPLACE BEARINGS 1 WHEEL HUB E- ANTHUB REMOVAL
INFOTAINMENT,DEFECT,MONITOR,1,1065.4,DAMAGE TYPE SUDDEN SHUTDOWN OF RADIO AND MONITOR CAUSE DEFECTIVE MONITOR WITH DATA LOSS CORRECTION MONITOR REPLACEMENT
